molecule_chembl_id,canonical_smiles,pIC50,fingerprint
CHEMBL64201,Nc1ccc(OC[C@@H](O)CNCCc2ccc(NS(=O)(=O)c3ccc(I)cc3)cc2)cn1,6.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99D620>
CHEMBL67251,O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2cccnc2)cc1)c1ccccc1,5.886056647693163,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99D690>
CHEMBL67672,Nc1ccc(OC[C@@H](O)CNCCc2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2)cn1,5.698970004336019,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99D700>
CHEMBL304878,O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2ccc(F)cc2)cc1)c1ccc(I)cc1,6.040958607678906,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99D770>
CHEMBL64932,O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2cccnc2)cc1)c1ccc(F)cc1,6.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99D7E0>
CHEMBL292947,CC(C)c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3cccnc3)cc2)cc1,6.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99D850>
CHEMBL276257,O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1)c1ccc(I)cc1,6.769551078621726,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99D8C0>
CHEMBL304090,CCc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(N)nc3)cc2)cc1,6.356547323513812,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99D930>
CHEMBL68408,CCCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(N)nc3)cc2)cc1,6.045757490560675,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99D9A0>
CHEMBL64935,O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2cccnc2)cc1)c1ccc(Br)cc1,5.698970004336019,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99DA10>
CHEMBL65042,O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2cccnc2)cc1)c1ccc(Cl)c(Cl)c1,6.5376020021010435,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99DA80>
CHEMBL68021,CCc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3cccnc3)cc2)cc1,6.229147988357855,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99DAF0>
CHEMBL442172,O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2ccccc2)cc1)c1ccc(I)cc1,7.096910013008056,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99DB60>
CHEMBL68334,O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2cccnc2)cc1)c1cnc2ccccc2c1,5.886056647693163,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99DBD0>
CHEMBL64760,CC(C)c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(N)nc3)cc2)cc1,5.7447274948966935,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99DC40>
CHEMBL67015,CCCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3cccnc3)cc2)cc1,6.221848749616356,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99DCB0>
CHEMBL66964,COc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3cccnc3)cc2)cc1,6.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99DD20>
CHEMBL66859,Nc1ccc(OC[C@@H](O)CNCCc2ccc(NS(=O)(=O)c3ccc(Cl)c(Cl)c3)cc2)cn1,6.327902142064283,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99DD90>
CHEMBL294042,O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2cccnc2)cc1)c1ccc(I)cc1,6.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99DE00>
CHEMBL285713,CCCCCCc1ncc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)o1,5.221848749616356,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99DE70>
CHEMBL39269,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2cnc(-c3ccccc3)o2)cc1,5.522878745280337,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99DEE0>
CHEMBL290053,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2coc(-c3ccc(C(F)(F)F)cc3)n2)cc1,5.6777807052660805,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99DF50>
CHEMBL38254,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2cnc(CCC3CCCC3)o2)cc1,5.318758762624412,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99DFC0>
CHEMBL40898,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2coc(-c3ccc(F)c(F)c3)n2)cc1,5.721246399047171,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99E030>
CHEMBL287947,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2cnc(CCCC3CCCC3)o2)cc1,6.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99E0A0>
CHEMBL287880,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2cnc(Cc3ccc(F)c(F)c3)o2)cc1,5.1249387366083,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99E110>
CHEMBL288418,Cc1ncc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)o1,5.154901959985743,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99E180>
CHEMBL38562,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2cnc(-c3ccc(F)cc3)o2)cc1,5.187086643357144,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99E1F0>
CHEMBL289689,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2coc(Cc3ccc(F)c(F)c3)n2)cc1,5.619788758288394,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99E260>
CHEMBL37335,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2coc(COc3ccc(F)cc3)n2)cc1,5.187086643357144,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99E2D0>
CHEMBL290131,CCCCCCCCc1ncc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)o1,6.455931955649724,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99E340>
CHEMBL288917,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2coc(CCC3CCCC3)n2)cc1,5.698970004336019,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99E3B0>
CHEMBL36101,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2cnc(CC3CCCC3)o2)cc1,5.096910013008056,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99E420>
CHEMBL39577,CCCCCc1ncc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)o1,6.698970004336019,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99E490>
CHEMBL39804,CC(C)(C)CCCc1ncc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)o1,5.698970004336019,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99E500>
CHEMBL285520,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2coc(Cc3ccc(C(F)(F)F)cc3)n2)cc1,5.920818753952375,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99E570>
CHEMBL36609,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2coc(COc3ccc(F)c(F)c3)n2)cc1,5.187086643357144,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99E5E0>
