action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7673828,[],CHEMBL1909091,DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol),B,,,BAO_0000190,BAO_0000249,cell membrane format,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,,,CHEMBL1909046,,,,,CHEMBL44657,ETOPOSIDE,CHEMBL44657,,0,,1539754,,15,0,,Not active,IC50,,,,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7673965,[],CHEMBL1909091,DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol),B,,,BAO_0000190,BAO_0000249,cell membrane format,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,,,CHEMBL1909046,,,,,CHEMBL672,FENOFIBRATE,CHEMBL672,,0,,1539762,,15,0,,Not active,IC50,,,,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7674393,[],CHEMBL1909091,DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol),B,,,BAO_0000190,BAO_0000249,cell membrane format,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,,,CHEMBL1909046,,,,,CHEMBL563,FLURBIPROFEN,CHEMBL563,,0,,1539786,,15,0,,Not active,IC50,,,,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7674773,[],CHEMBL1909091,DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol),B,,,BAO_0000190,BAO_0000249,cell membrane format,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,,,CHEMBL1909046,,,,,CHEMBL472,GLYBURIDE,CHEMBL472,,0,,1539810,,15,0,,Not active,IC50,,,,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7674906,[],CHEMBL1909091,DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol),B,,,BAO_0000190,BAO_0000249,cell membrane format,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,,,CHEMBL1909046,,,,,CHEMBL583,GREPAFLOXACIN,CHEMBL583,,0,,1539818,,15,0,,Not active,IC50,,,,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7675004,[],CHEMBL1909091,DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol),B,,,BAO_0000190,BAO_0000249,cell membrane format,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,,,CHEMBL1909046,,,,,CHEMBL54,HALOPERIDOL,CHEMBL54,,0,,1539826,,15,0,,Not active,IC50,,,,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7675086,[],CHEMBL1909091,DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol),B,,,BAO_0000190,BAO_0000249,cell membrane format,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,,,CHEMBL1909046,,,,,CHEMBL435,HYDROCHLOROTHIAZIDE,CHEMBL435,,0,,1539834,,15,0,,Not active,IC50,,,,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7675214,[],CHEMBL1909091,DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol),B,,,BAO_0000190,BAO_0000249,cell membrane format,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,,,CHEMBL1909046,,,,,CHEMBL788,IDOXURIDINE,CHEMBL788,,0,,1539842,,15,0,,Not active,IC50,,,,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7675536,[],CHEMBL1909091,DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol),B,,,BAO_0000190,BAO_0000249,cell membrane format,CC(/C=C1\SC(=S)N(CC(=O)O)C1=O)=C\c1ccccc1,,,CHEMBL1909046,,,,,CHEMBL56337,EPALRESTAT,CHEMBL56337,,0,,1539730,,15,0,,Not active,IC50,,,,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7676248,[],CHEMBL1909091,DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol),B,,,BAO_0000190,BAO_0000249,cell membrane format,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,,,CHEMBL1909046,,,,,CHEMBL106,FLUCONAZOLE,CHEMBL106,,0,,1539770,,15,0,,Not active,IC50,,,,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,Not Active,,IC50,,,,
